age,interval,wl,wm,ws,Delta,minus3sd,minus2sd,minus1sd,Median,plus1sd,plus2sd,plus3sd,sex
15,6,0.5697,1709.159,0.30394,350,122,460,874,1359,1912,2531,3212,1
16,6,0.5943,1651.415,0.31109,350,73,409,821,1301,1847,2454,3120,1
17,6,0.619,1616.616,0.31517,350,40,377,789,1267,1806,2403,3053,1
18,6,0.6428,1590.608,0.31683,350,16,355,766,1241,1772,2357,2990,1
19,6,0.6649,1571.555,0.31675,350,0,340,751,1222,1745,2316,2932,1
20,6,0.6849,1557.027,0.31549,350,-11,331,741,1207,1722,2281,2880,1
21,6,0.7027,1545.906,0.31347,350,-18,326,735,1196,1702,2249,2832,1
22,6,0.7187,1533.687,0.31113,350,-23,322,728,1184,1681,2215,2783,1
23,6,0.7336,1520.616,0.30878,350,-27,318,721,1171,1659,2181,2733,1
24,6,0.7478,1508.474,0.30647,350,-31,314,715,1158,1638,2148,2687,1
6,6,-0.1223,4528.983,0.15945,450,2395,2862,3417,4079,4870,5820,6964,2
7,6,-0.028,3911.932,0.17265,450,1889,2324,2843,3462,4201,5085,6141,2
8,6,0.0799,3327.732,0.18755,450,1421,1824,2305,2878,3559,4366,5320,2
9,6,0.1942,2853.38,0.20514,450,1032,1411,1864,2403,3039,3784,4653,2
10,6,0.3097,2501.506,0.22466,450,725,1092,1532,2052,2658,3360,4164,2
11,6,0.4246,2248.588,0.24383,450,486,852,1288,1799,2386,3053,3802,2
12,6,0.525,2068.274,0.25997,450,308,677,1114,1618,2189,2825,3527,2
13,6,0.6042,1939.294,0.27156,450,182,554,992,1489,2044,2652,3311,2
14,6,0.6644,1850.472,0.27943,450,93,470,908,1400,1941,2526,3153,2
15,6,0.7065,1793.336,0.28481,450,34,415,855,1343,1875,2444,3049,2
16,6,0.7288,1758.551,0.2887,450,-2,381,822,1309,1835,2397,2991,2
17,6,0.7317,1738.357,0.29175,450,-20,362,802,1288,1815,2376,2969,2
18,6,0.7206,1725.043,0.29439,450,-26,352,789,1275,1803,2368,2967,2
19,6,0.7016,1713.869,0.29696,450,-27,345,778,1264,1795,2366,2974,2
20,6,0.6812,1703.117,0.29971,450,-26,338,768,1253,1787,2365,2984,2
21,6,0.6643,1691.694,0.30278,450,-30,330,756,1242,1779,2364,2993,2
22,6,0.6534,1677.677,0.30619,450,-38,317,742,1228,1768,2358,2995,2
23,6,0.6489,1659.966,0.30991,450,-51,301,724,1210,1752,2345,2986,2
24,6,0.6476,1640.744,0.31376,450,-66,283,705,1191,1733,2328,2972,2
