age,interval,hcl,hcm,hcs,minus3sd,minus2sd,minus1sd,median,plus1sd,plus2sd,plus3sd,sex
12,6,0.6933,2.7354,0.17427,1.4,1.8,2.3,2.7,3.2,3.7,4.3,1
13,6,0.7226,2.3511,0.18884,1.1,1.5,1.9,2.4,2.8,3.3,3.8,1
14,6,0.7499,2.0461,0.20363,0.9,1.3,1.6,2,2.5,2.9,3.4,1
15,6,0.7754,1.7985,0.21837,0.7,1.1,1.4,1.8,2.2,2.6,3.1,1
16,6,0.7993,1.5932,0.2328,0.6,0.9,1.2,1.6,2,2.4,2.8,1
17,6,0.8218,1.4211,0.24672,0.5,0.8,1.1,1.4,1.8,2.2,2.5,1
18,6,0.8431,1.2795,0.26021,0.4,0.6,1,1.3,1.6,2,2.3,1
19,6,0.8633,1.1676,0.27339,0.3,0.6,0.9,1.2,1.5,1.8,2.2,1
20,6,0.8825,1.0785,0.28632,0.2,0.5,0.8,1.1,1.4,1.7,2,1
21,6,0.9009,1.0078,0.29903,0.2,0.4,0.7,1,1.3,1.6,1.9,1
22,6,0.9184,0.9483,0.31159,0.1,0.4,0.7,0.9,1.2,1.6,1.9,1
23,6,0.9351,0.8976,0.32406,0.1,0.3,0.6,0.9,1.2,1.5,1.8,1
24,6,0.9512,0.8511,0.33648,0,0.3,0.6,0.9,1.1,1.4,1.7,1
6,6,0.2608,8.2683,0.11607,5.7,6.5,7.3,8.3,9.3,10.4,11.5,2
7,6,0.3426,6.5037,0.11997,4.4,5.1,5.8,6.5,7.3,8.2,9.1,2
8,6,0.414,5.2206,0.1259,3.5,4,4.6,5.2,5.9,6.6,7.4,2
9,6,0.4774,4.341,0.13381,2.8,3.3,3.8,4.3,4.9,5.6,6.3,2
10,6,0.5344,3.6748,0.14324,2.3,2.7,3.2,3.7,4.2,4.8,5.4,2
11,6,0.5863,3.1336,0.15447,1.8,2.2,2.7,3.1,3.6,4.2,4.7,2
12,6,0.6338,2.689,0.16777,1.5,1.8,2.3,2.7,3.2,3.6,4.2,2
13,6,0.6777,2.3226,0.18258,1.2,1.5,1.9,2.3,2.8,3.2,3.7,2
14,6,0.7186,2.0288,0.19851,0.9,1.3,1.6,2,2.4,2.9,3.3,2
15,6,0.7567,1.7978,0.21524,0.7,1.1,1.4,1.8,2.2,2.6,3,2
16,6,0.7925,1.6098,0.23248,0.6,0.9,1.2,1.6,2,2.4,2.8,2
17,6,0.8262,1.45,0.24989,0.5,0.8,1.1,1.5,1.8,2.2,2.6,2
18,6,0.8581,1.3166,0.26722,0.3,0.6,1,1.3,1.7,2,2.4,2
19,6,0.8884,1.2111,0.28419,0.2,0.5,0.9,1.2,1.6,1.9,2.3,2
20,6,0.9172,1.1249,0.30032,0.2,0.5,0.8,1.1,1.5,1.8,2.2,2
21,6,0.9446,1.0506,0.31516,0.1,0.4,0.7,1.1,1.4,1.7,2.1,2
22,6,0.9708,0.9819,0.32846,0,0.3,0.7,1,1.3,1.6,2,2
23,6,0.9959,0.9149,0.34024,0,0.3,0.6,0.9,1.2,1.5,1.9,2
24,6,1.02,0.8494,0.35116,0,0.2,0.5,0.8,1.1,1.4,1.7,2
